date,GPP.daily,GPP.daily.lower,GPP.daily.upper,ER.daily,ER.daily.lower,ER.daily.upper,K600.daily,K600.daily.lower,K600.daily.upper,warnings,errors
2022-01-01,0.8862598570321883,-0.6216973097175632,2.39421702378194,0.7403091323691107,-2.3923776199044737,3.872995884642695,2.645374020575215,-0.3379684087420469,5.628716449892478,overall warnings,
2022-01-02,0.7206257309802319,-0.8306725274610488,2.2719239894215124,0.7302102870527727,-1.9677620536006777,3.428182627706223,3.662103982051487,-1.039720142867186,8.36392810697016,overall warnings,
2022-01-03,0.009820730323438347,-1.5189815375194726,1.5386229981663493,1.1774435433432306,-1.872715594076951,4.227602680763413,3.482801548700796,-1.0438879906297274,8.00949108803132,overall warnings,
2022-01-04,-0.4177174207439561,-1.947624493199807,1.112189651711895,1.8484609635901712,-1.9100333564186023,5.6069552835989445,3.6195986582498834,-1.259950921350995,8.499148237850761,overall warnings,
2022-01-05,-0.150782818933697,-1.675879205321935,1.3743135674545408,1.5866674248630168,-2.3307582599075714,5.5040931096336045,5.209413043991378,-2.7907115776620133,13.20953766564477,overall warnings,
2022-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,overall warnings,NAs in light
2022-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,overall warnings,NAs in light
2022-01-08,-0.2285715197706423,-1.734096133525956,1.2769530939846712,1.2233674291418797,-1.6238961808343688,4.070631039118128,3.8795567808729117,-1.5111789834924152,9.270292545238238,overall warnings,
2022-01-09,0.8926269569414323,-0.6985781444149038,2.4838320582977684,0.08083551716422818,-2.9821570776835222,3.143828112011979,6.750367928773688,-3.1991830433209802,16.699918900868354,overall warnings,
2022-01-10,0.5126194610732195,-0.998506777830876,2.023745699977315,-0.7659484055537366,-3.254397194536952,1.7225003834294785,4.286589105667577,-2.0207592135050136,10.593937424840167,overall warnings,
2022-01-11,0.35744941555176407,-1.0222443444574765,1.7371431755610045,-0.5658689394930984,-3.082347628936217,1.95060974995002,3.6019384804309222,-1.0216319285982038,8.225508889460048,overall warnings,
2022-01-12,-0.1679295808197941,-1.6870320736739226,1.3511729120343345,0.9059151814453701,-1.861320522223302,3.673150885114042,3.0873217333812324,-0.7905563912339137,6.965199857996378,overall warnings,
2022-01-13,0.2925326339209477,-1.3133878594305586,1.898453127272454,0.8269409501294929,-2.373820475476335,4.027702375735321,4.811881100848543,-2.0568911983069897,11.680653400004076,overall warnings,
2022-01-14,0.4196494604300615,-1.0936510610554646,1.9329499819155878,-0.3516789309373586,-3.149613868662533,2.446256006787816,4.164001762705932,-1.3726814302189059,9.70068495563077,overall warnings,
2022-01-15,1.318571738767862,-0.1546359499558767,2.7917794274916004,-1.0866281226358783,-3.6574987803470025,1.4842425350752457,3.2235947434070447,-0.7880374099339651,7.235226896748054,overall warnings,
2022-01-16,-0.294392155747669,-1.8711327732559353,1.2823484617605974,0.3929160389342778,-2.2004755464214423,2.9863076242899975,3.238034028542882,-0.8164384965648339,7.292506553650599,overall warnings,
2022-01-17,-0.0630162517127161,-1.6013969662119316,1.4753644627864992,0.6057410186993715,-2.250251436251289,3.461733473650032,3.50463954866813,-1.342479165132016,8.351758262468277,overall warnings,
2022-01-18,0.3848323582223874,-1.1762039246354319,1.9458686410802066,0.6009787139949069,-2.784267970807124,3.9862253987969374,3.4095152010176863,-1.0550733603056819,7.874103762341054,overall warnings,
2022-01-19,0.6541083404589204,-0.8632713163892799,2.171487997307121,-0.6227709191685522,-3.362752380823845,2.11721054248674,3.277037264494358,-0.656468906215844,7.21054343520456,overall warnings,
2022-01-20,0.6786059856583606,-0.9859742711596007,2.343186242476322,-2.9800233746162323,-7.682353777578381,1.7223070283459165,4.869883874852496,-2.462805931550135,12.202573681255128,overall warnings,
2022-01-21,0.1274428261270984,-1.4429071748966995,1.6977928271508962,0.2647841317025636,-2.2737087626812333,2.8032770260863606,2.412215918491708,-0.21210839789994962,5.036540234883365,overall warnings,
2022-01-22,-0.5030542305094713,-2.367636068776516,1.3615276077575733,-1.0087704911372133,-3.8784543998300487,1.8609134175556221,6.978994545213295,-4.134019041227688,18.09200813165428,overall warnings,
2022-01-23,0.3111096948907348,-1.3036860268348751,1.9259054166163447,-0.8029452893232971,-3.4474290822156797,1.8415385035690854,3.2601061582209128,-1.368929983030489,7.889142299472315,overall warnings,
2022-01-24,1.0805423857504795,-0.4944540418400305,2.655538813340989,-0.8570373925818686,-3.5775337928038864,1.8634590076401494,2.9741513861794995,-0.5164038787419734,6.464706651100972,overall warnings,
2022-01-25,-0.5147867297839488,-2.1512046545276458,1.1216311949597482,-1.4059069824919943,-4.476090471754617,1.6642765067706278,6.8546891447971925,-2.8530098550344105,16.562388144628795,overall warnings,
2022-01-26,-0.3011538930784392,-1.9096094914177806,1.3073017052609022,-5.014971908777117,-10.821476580800699,0.7915327632464644,6.275491082574197,-1.1177641307322252,13.66874629588062,overall warnings,
2022-01-27,0.09216138891605068,-1.5397479981624436,1.7240707759945448,-2.0611439901435573,-5.688718947494095,1.5664309672069803,3.645493653288165,-1.0590352814310142,8.350022588007345,overall warnings,
2022-01-28,0.17140821916158078,-1.4497082443187108,1.7925246826418721,-0.47412539853616087,-3.098187519008733,2.1499367219364114,2.8208681560377107,-0.5102906319345983,6.15202694401002,overall warnings,
2022-01-29,-0.2642736162754687,-1.8698708901115708,1.3413236575606335,-0.5704591355280909,-3.216743300479819,2.075825029423637,3.464601716693235,-1.0889604639251318,8.018163897311602,overall warnings,
